Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness,Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity Score,Lyrics
Politik,Coldplay,permanent wave,2002,171,48,26,-8,11,7,319,4,3,62,"Look at Earth from outer space
Everyone must find a place
Give me time and give me space
Give me real, don't give me fake

Give me strength, reserve control
Give me heart and give me soul
Give me time, give us a kiss
And tell me your own politik

And open up your eyes
Open up your eyes
Open up your eyes
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,37,203,0,5,79,"Lay where you're laying
Don't make a sound
I know they're watching
They're watching

All the commotion
The kiddie-like play
Has people talking
They're talking

You
Your sex is on fire

The dark of the alley
The breaking of day
Head while I'm driving
I'm driving

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Somewhere Only We Know,Keane,modern rock,2004,172,66,45,-4,8,37,236,8,3,67,"I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river and it made me complete

Oh, simple thing, where have you gone?
I'm gettin' old, and I need something to rely on
So, tell me when you're gonna let me in
I'm gettin' tired, and I need somewhere to begin

I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

Oh, simple thing, where have you gone?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sunrise,Simply Red,british soul,2004,106,73,79,-5,10,94,200,0,3,55,"As I look into your eyes I see the sunrise
The light behind your face helps me realize
(Sunrise...)

We sleep and sometimes love until the moon shines
Maybe the next time I'll be yours and maybe you'll be mine
(Sunrise)

I don't know if it's even in your mind at all (It could be me)
At this moment in time, is it in your mind at all (It should be me)
(It could be me) (That's ingrained in your mind, your mind)
Forever
Forever

Wondering through life will love come home to you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
When You Say Nothing At All,Ronan Keating,dance pop,2000,174,45,46,-11,8,42,257,16,3,74,"It's amazing how you can speak right to my heart
Without saying a word, you can light up the dark
Try as I may I can never explain
What I hear when you don't say a thing

The smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me wherever I fall
You say it best, when you say nothing at all

All day long I can hear people talking out loud
But when you hold me near, you drown out the crowd
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Hard Sun,Eddie Vedder,permanent wave,2007,143,83,44,-7,32,65,322,5,3,66,"When I walk beside her, I am the better man
When I look to leave her, I always stagger back again
Once I built an ivory tower, so I could worship from above
When I climbed down to be set free, she took me in again

There's a big, a big hard sun
Beating on the big people
In the big hard world

When she comes to greet me she is mercy at my feet
And when I see her bitter charm, she just throws it back at me
Once I dug an early grave to find a better land
She just smiled and laughed at me, and took her blues back again

There's a big, a big hard sun
Beating on the big people
In the big hard world

Oh, there's a big, a big hard sun
Beating on the big people
In the big hard world

When I go to cross that river, she is comfort by my side
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Belfast Child,Simple Minds,art rock,2008,81,39,14,-13,10,30,404,30,5,43,"When my love said to me
Meet me down by the gallow tree
For it's sad news I bring

About this old town and all that it's offering
Some say troubles abound
Some day soon they're gonna pull the old town down

One day we'll return here
When the Belfast Child sings again

Brothers, sisters, where are you now?
As I look for you right through the crowd
All my life here I've spent
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jerusalem,Anouk,dutch indie,2004,132,84,61,-7,8,54,236,0,4,40,"Sir can you tell me how to get to Jerusalem?
'Cause I have kinda lost my way
Sir will you help me get there as fast as I can?
Tomorrow might be too late

'Cause things ain't what they used to be
My love for life is gone you see
Am I fighting things I cannot see?
People always tellin' me, how sweet and simple life could be
They say, ""You might as well live before you die""

But one thing I know for sure
I am a danger to myself, how come?
Yeah one thing I know for sure
I need some guidance, to get me out of this hellhole
Jerusalem, can you help me find my way back to Jerusalem? Yeah

It took me quite some time to get into Jerusalem
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mr Bojangles,Robbie Williams,dance pop,2001,137,33,51,-11,18,27,198,72,11,58,"I knew a man Bojangles
And he'll dance for you
In worn out shoes
With silver hair, a ragged shirt
And baggy pants
He would do the old soft shoe
He would jump so high
Jump so high
Then he'd lightly touch down

Told me of the time he worked with
With Minstrel shows
Travelling throughout the south
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
When The Sun Goes Down,Arctic Monkeys,garage rock,2006,169,88,35,-5,12,41,202,3,20,57,"So who's that girl there?
I wonder what went wrong
So that she had to roam the streets
She don't do major credit cards
I doubt she does receipts
It's all not quite legitimate

And what a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes, yeah
That he's got a driving ban
Amongst some other offences

And I've seen him with girls of the night
And he told Roxanne to put on her red light
They're all infected but he'll be alright
Cause he's a scumbag, don't you know
I said he's a scumbag, don't you know!

Although you're trying not to listen
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Frozen,Madonna,dance pop,2009,108,74,59,-8,18,29,379,51,3,55,"How can life be what you want it to be?
You're frozen
When your heart's not open

(If I could melt your heart)
(We'd never be apart)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Racing Rats,Editors,alternative dance,2007,153,84,32,-4,8,22,258,0,5,43,"When the time comes
That you're no longer there
Fall down to my knees
Begin my nightmare

Words spill from my drunken mouth
I just can't keep 'em all in
I keep up with the racing rats
And do my best to win

Slow down little one
You can't keep running away
You mustn't go outside yet
It's not your time to play

Standing at the edge of your town
With the skylight in your eyes
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Life in Technicolor ii,Coldplay,permanent wave,2008,131,91,47,-7,25,29,245,0,4,47,"There's a wild wind blowing
Down the corner of my street
Every night there the headlights are glowing
There's a cold war coming
On the radio, I heard
Baby, it's a violent world

Oh, love, don't let me go
Won't you take me where the streetlights glow
I can hear it coming
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ruby,Kaiser Chiefs,alternative rock,2007,93,93,44,-3,8,40,203,1,5,62,"Let it never be said
That romance is dead
'Cause there's so little else

Occupying my head
There is nothing I need
Except the function to breath

But I'm not really fussed
Doesn't matter to me
Ruby, Ruby, Ruby, Ruby!

Do ya, do ya, do ya, do ya!
Know what you're doing, doing to me!
Ruby, Ruby, Ruby, Ruby!

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elevation,U2,irish rock,2000,110,80,58,-8,5,42,226,0,4,49,"Yeah, yeah

High, higher than the sun
You shoot me from a gun
I need you to elevate me here
At the corner of your lips
As the orbit of your hips, eclipse
You elevate my soul

I've got no self-control
Been living like a mole now
Going down, excavation

I and I in the sky
You make me feel like I can fly
So high, elevation
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Black Betty,Ram Jam,album rock,2005,117,73,49,-9,16,83,236,0,9,61,"Whoa, Black Betty (Bam-ba-lam)
Whoa, Black Betty (Bam-ba-lam)
Black Betty had a child (Bam-ba-lam)
The damn thing gone wild (Bam-ba-lam)
She said, ""I'm worryin' outta mind"" (Bam-ba-lam)
The damn thing gone blind (Bam-ba-lam)
I said oh, Black Betty (Bam-ba-lam)
Whoa, Black Betty (Bam-ba-lam)

Whoa, Black Betty (Bam-ba-lam)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Wrong,Novastar,belgian rock,2000,90,66,54,-8,55,49,214,14,4,48,"She just left me, oh
And there's no one here that I
Want to change her for
And I was good for her
Still she says she don't know
Who she adores

Where did we go wrong
Was it somewhere along this trip to Miami
Where did we go wrong
Was it somewhere along this trip to Miami
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Never Be Clever,Herman Brood & His Wild Romance,dutch indie,2001,138,89,56,-5,32,96,183,54,4,41,"Going down the line, my head up high
Wonder why it's so hard to feel fine
Got all I need
Plastic teeth
A pocket full of speed
And I'm cool with the heat
I got a groovy little lady
Seems I'm waisting het time
Got a hit and a bullet
Still back in crime

People say I used to do better
Si I guess I'm gonna have to get myself together
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Undisclosed Desires,Muse,modern rock,2009,116,59,68,-7,8,64,235,1,3,65,"I know you've suffered
But I don't want you to hide
It's cold and loveless
I won't let you be denied

Soothing
I'll make you feel pure
And trust me
You can be sure

I want to reconcile the violence in your heart
I want to recognize your beauty is not just a mask
I want to exorcise the demons from your past
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mother Earth,Within Temptation,dutch metal,2003,105,59,43,-6,24,15,330,2,3,45,"Birds and butterflies
Rivers and mountains she creates
But you'll never know
The next move she'll make

You can try
But it is useless to ask why
Cannot control her
She goes her own way

She rules until the end of time
She gives and she takes
She rules until the end of time
She goes her way

With every breath
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
One More Time,Daft Punk,electro,2001,123,70,61,-9,33,48,320,2,13,75,"One more time
One more time

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah

One more time

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah
Don't stop the dancing

One more time

I'm just feelin'
Celebration tonight
Celebrate
Don't wait too late
No he don't stop
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
(You're The) Devil in Disguise,Elvis Presley,adult standards,2002,123,73,48,-8,11,87,140,57,17,65,"You look like an angel (look like an angel)
Walk like an angel (walk like an angel)
Talk like an angel
But I got wise

You're the devil in disguise
Oh, yes, you are, devil in disguise

You fooled me with your kisses
You cheated and you schemed
Heaven knows how you lied to me
You're not the way you seemed

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Make It Wit Chu,Queens of the Stone Age,alternative metal,2007,92,81,70,-5,13,58,290,36,3,59,"You wanna know if I know why?
I can't say that I do
Don't understand the evil eye
Or how one becomes two

And I just can't recall what started it all
Or how to begin in the end
I ain't here to break it
Just see how far it will bend
Again and again, again and again

I wanna make it
I wanna make it wit chu (anytime, anywhere)
I wanna make it (again and again)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Farewell To The Fairground,White Lies,alternative dance,2009,118,77,53,-5,12,30,257,0,4,54,"The lights still in our eyes
We're leaving this whole fairground behind
It's a dream that's going cold
The circus never dies
The act forever haunts these skies
I know we cannot stay

Farewell to the fairground
These rides aren't working anymore
Goodbye to this dead town
Until the ice begins to thaw

This place used to gleam
I see it in my hopeful dreams
Now I have to get away
We move towards the stars
And all that we touch becomes ours
Let's keep warm 'til it's day

Farewell to the fairground
These rides aren't working anymore
Goodbye to this dead town
Until the ice begins to thaw
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
9 Crimes,Damien Rice,acoustic pop,2006,74,17,33,-13,9,10,219,91,3,57,"Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you

It's the wrong time
For somebody new
It's a small crime
And I got no excuse

And is that alright? Yeah
Give my gun away when it's loaded
That alright? Yeah
If you don't shoot it how am I supposed to hold it?

That alright? Yeah
Give my gun away when it's loaded
That alright? Yeah, with you?

Leave me out with the waste
This is not what I do
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Changes,2Pac,g funk,2007,111,66,87,-7,14,32,269,4,8,72,"Come on, come on
I see no changes, wake up in the morning, and I ask myself
Is life worth living, should I blast myself?
I'm tired of bein' poor, and even worse I'm black
My stomach hurts, so I'm lookin' for a purse to snatch

Cops give a damn about a negro
Pull the trigger, kill a nigga, he's a hero
Give the crack to the kids who the hell cares
One less hungry mouth on the welfare

First, ship 'em dope and let 'em deal the brothers
Give 'em guns, step back, watch 'em kill each other
It's time to fight back, that's what Huey said
Two shots in the dark, now Huey's dead

I got love for my brother, but we can never go nowhere
Unless we share with each other
We gotta start makin' changes
Learn to see me as a brother instead of two distant strangers

And that's how it's supposed to be
How can the devil take a brother, if he's close to me?
I'd love to go back to when we played as kids
But things changed, and that's the way it is

Come on, come on
That's just the way it is
Things will never be the same
That's just the way it is
Ooh, yeah

Come on, come on
That's just the way it is
Things will never be the same
That's just the way it is
Aww, yeah

I see no changes, all I see is racist faces
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Don't Give up the Fight,Racoon,dutch indie,2010,91,30,28,-13,12,26,210,88,3,27,"Please don't give up the fight
For no reason, but your own
I never said that the fight
Would be easy

Because it won't
I will remember you
And all that we've been through
There's no angel that can be more angel

Than you
I see you every night
And your star is shinig bright
And I cry and I smile
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
I Follow Rivers - Live @ Giel!,Triggerfinger,belgian rock,2010,110,41,67,-9,3,71,214,15,6,42,"One, Two, Three

Oh I beg you: can I follow?
Oh I ask you: why not always?
Be the ocean, where I unravel,
Be my only, be the water where I'm wading.
You're my river running high,

Run deep, run wild.
I-I follow, I follow you
Deep sea baby, I follow you
I-I follow, I follow you

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Liverpool Rain,Racoon,dutch indie,2010,183,50,45,-7,11,21,266,25,3,26,"Stuck in a van
As far away as I possibly can
Stuck in a mood
So far away that it couldn't be good
My back hurts and it rains
Screw England, screw the young and insane
We travel in vain
The dreams are the same

So look at the hero in the Liverpool rain
I'll stick by you forever, and do it in vain
You travel the houses, soothing the pain
Putting a smile on my face once again
So look at the heroes in the Liverpool rain
Are we here in vain

Stuck in a van, and to be honest again
Well, I don't give a damn
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
No Mercy,Racoon,dutch indie,2010,104,57,77,-6,11,61,165,9,3,36,"She walks in and says, ""Come on, let's have it""
She brings out the worst you can be
It's a good day for a bad habit
Don't you dare to disagree
(She likes to surf alone)

Cheap bastard thinks he's something groovy
Straight down from church you wanna bet
She'll play him like some kind of movie
And then smokes the last of his cigarettes

She's got no mercy for the soldiers
No mercy for the king
No mercy for the soldiers
No mercy for the king
No mercy for the soldiers
And no mercy for no king
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Eve of the War,Jeff Wayne,classic uk pop,2010,127,59,40,-9,11,37,263,8,4,28,"No one would have believed
In the last years of the nineteenth century
That human affairs were being watched from the timeless worlds of space

No one could have dreamed that we were being scrutinized
As someone with a microscope studies creatures that swarm and multiply in a drop of water
Few men even considered the possibility of life on other planets
And yet, across the gulf of space
Minds immeasurably superior to ours
Regarded this Earth with envious eyes
And slowly and surely, they drew their plans against us

At midnight, on the 12th of August
A huge mass of luminous gas erupted from Mars and sped towards Earth
Across two hundred million miles of void
Invisibly hurtling towards us
Came the first of the missiles that were to bring so much calamity to Earth

As I watched, there was another jet of gas
It was another missile, starting on its way

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76,"Right, right, turn off the lights
We're gonna lose our minds tonight
What's the dealio?
I love when it's all too much
5:00 a.m. turn the radio up
Where's the rock 'n' roll?

Party crasher, penny snatcher
Call me up if you a gangster
Don't be fancy, just get dancy
Why so serious?

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty gritty, dirty little freaks
Won't you come on and come on and raise your glass?
Just come on and come on and raise your glass

Slam, slam, oh, hot damn
What part of party don't you understand?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,"Christmas night
Another fight
Tears we cried a flood
Got all kinds of poison in
Of poison in my blood

I took my feet to Oxford street
Trying to right a wrong
""Just walk away"" those windows say
But I can't believe she's gone

When you're still waiting for the snow to fall
Doesn't really feel like Christmas at all

Up above candles on air flicker
Oh, they flicker, and they flow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Promise You Made,Cock Robin,dance rock,2010,117,41,71,-14,15,65,227,38,4,48,"If I laid down my love to come to your defense
Would you worry for me with a pain in your chest?
Could I rely on your faith to be strong
To pick me back up and to push me along?

(Tell me) you'll be there in my hour of need
You won't turn me away
Help me out of the life I lead
Remember the promise you made
Remember the promise you made

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Back Home,Golden Earring,album rock,2010,123,84,47,-6,10,74,232,6,5,37,"Goin' back right through the city
Through the country, rivers so pretty
People wonder why I'm going back home
Just the place where I belong

Back home,
Back home,
Back home,
Back home
Well I'm a round the world rambler
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Times Are Changing,DI-RECT,dutch indie,2010,123,81,50,-6,15,28,206,4,4,47,"Everybody is in a separate zone
All together but we're so alone.
Staring out through a wall of glass,
Look away because it's gonna crash.

And ooh...
My hart is open
Ooh, the times are changing

Forever
Forever

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Need You Now,Lady Antebellum,contemporary country,2010,108,72,58,-4,24,32,236,3,3,53,"Picture perfect memories
Scattered all around the floor
Reaching for the phone cause
I can't fight it anymore

And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one
I'm all alone and I need you now
Said I wouldn't call, but I lost all control
And I need you now
And I don't know how I can do without
I just need you now

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Man Down,Rihanna,barbadian pop,2010,156,91,48,-4,5,54,267,4,19,59,"Sak Pasé

I didn't mean to end his life
I know it wasn't right
I can't even sleep at night
Can't get it off my mind
I need to get out of sight
Before I end up behind bars

What started out as a simple altercation
Turned into a real sticky situation
Me just thinking on the time that I'm facing
Makes me wanna cry

'Cause I didn't mean to hurt him
Could've been somebody's son
And I took his heart when
I pulled out that gun

Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down

Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down

Oh, mama, mama, mama
I just shot a man down
In central station
In front of a big old crowd
Oh why, oh why?

Oh, mama, mama, mama
I just shot a man down
In central station

It's a 22, I call her Peggy Sue
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,19,251,1,4,66,"Single book of matches gonna burn what's standing in the way

Roaring down the mountain, now they're calling on the fire brigade
Bury out the pictures and tell the kids that I'm okay

If and I'm forgotten, you'll remember me for the day

I, I won't ever be your corner stone
I

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Atmosphere - 2010 Remaster,Joy Division,alternative rock,2010,120,39,62,-12,12,44,249,23,3,51,"Walk in silence
Don't walk away, in silence
See the danger
Always danger
Endless talking
Life rebuilding
Don't walk away
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Back Down South,Kings of Leon,modern rock,2010,117,62,48,-7,26,15,241,6,4,58,"Come on out and dance, if you get the chance
We're gonna spit on the rivals
All I wanna know is how far you wanna go
Fighting for survival

Underneath the stars, where we parked the cars
Ain't showing signs of stopping
Pretty little girls, naked to their curls
Ready to lay in a coffin

If you wanna go, I'm gonna go
I've got a fire burning
Go on, take my hand when we see the band
Baby's gonna be a big one, oh, yeah

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Riverside,Agnes Obel,chamber pop,2010,99,19,65,-14,13,23,231,98,3,48,"Down by the river by the boat
Where everybody goes to be alone
Where you won't see any rising sun
Down to the river we will run

When by the water we drink to the dregs
Look at the stones on the riverbed
I can tell from your eyes
You've never been by the riverside

Down by the water, the riverbed
Somebody calls you, somebody says
""Swim with the current and float away""
Down by the river everyday

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Rainbow In The Sky - K & A's Radio Blast,DJ Paul Elstak,gabba,2011,168,94,48,-7,28,26,213,0,3,60,"I wanna see a rainbow high in the sky
I wanna see you and me on a bird flying away
-Flying away-
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Little Black Submarines,The Black Keys,alternative rock,2011,95,47,37,-8,11,49,251,16,4,65,"Little black submarines
Operator, please
Put me back on the line
Told my girl I'd be back
Operator, please
This is wreckin' my mind

Oh, can it be?
The voices calling me
They get lost and out of time
I should've seen it glow
But everybody knows
That a broken heart is blind
That a broken heart is blind

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,19,256,0,5,69,"A million miles away
Your signal in the distance
To whom it may concern
I think I lost my way
Getting good at starting over
Every time that I return

I'm learnin' to walk again
I believe I've waited long enough
Where do I begin?

I'm learnin' to talk again
Can't you see I've waited long enough?
Where do I begin?

Do you remember the days?
We built these paper mountains
Then sat and watched them burn?
I think I found my place
Can't you feel it growing stronger?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,76,"Hello, everyone
Yay, we're so near the time for Ed
It's so exciting
Uhm, just wanted to say a couple more things
Just remember that we are filming this for a DVD
That you guys are going to be able to buy
And tonight is being recorded for a live EP
That you guys will also be able to buy so
I think we'd all agree that we're all kind of part of something really special

Because, we're going to be able to take tonight home in a few weeks
So yeah, big honor for us all to be here and
I just want to personally say a big thankyou to Ed for asking me to, um
Host tonight because, it's just amazing
And I think he's fantastic and I feel honored to be here
So that's it! It's time to welcome the fantastic Ed Sheeran to the stage
Make some noise

White lips, pale face
Breathing in the snowflakes
Burnt lungs, sour taste
Light's gone, day's end
Struggling to pay rent
Long nights, strange men

And they say
She's in the Class A Team
Stuck in her daydream
Been this way since 18
But lately, her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
lippy kids,Elbow,britpop,2011,155,20,42,-15,8,10,366,96,3,29,"Lippy Kids on the corner again
Lippy Kids on the corner begin
Settling like crows
Though I never perfected the simian stroll
The cigarette scent it was everything then

Do they know those days are golden?
Build a rocket boys
Build a rocket boys!

One long June
I came down from the trees
And kerbstone cool
You were a freshly painted angel
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Faster,Within Temptation,dutch metal,2011,120,93,51,-3,14,48,264,0,4,53,"I can't sleep
'Cause it's burning deep inside
Like gasoline on a fire running wild
No more fear, 'cause I'm getting closer now
So unreal, but I like it anyhow

I go faster and faster
And faster and faster
And faster and faster
And faster

And I can't live in a fairytale of lies
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Lonely Boy,The Black Keys,alternative rock,2011,166,87,36,-8,10,61,194,0,7,73,"Well, I'm so above you
And it's plain to see
But I came to love you anyway
So you tore my heart out
And I don't mind bleeding
Any old time to keep me waiting
Waiting, waiting

Oh, oh-oh, I got a love that keeps me waiting
Oh, oh-oh, I got a love that keeps me waiting
I'm a lonely boy
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Driver's Seat,Sniff 'n' The Tears,classic uk pop,2011,133,80,74,-8,19,98,239,0,4,54,"Doing all right
A little jiving on a Saturday night
'N come what may
Gonna dance the day away

Jenny was sweet
She always smiled for the people she'd meet
On trouble and strife
She had another way of looking at life

The news is blue (The news is blue)
Has it's own way to get to you (Ooh-ooh)
What can I do (What can I do?)
When I remember my time with you?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68,"Vamos a cantar juntos, así
Yo (yo)
Sing yo (yo)

I turn the music up
I've got my records on
I shut the world outside until the lights come on

Maybe the streets alight
Maybe the trees are gone
I feel my heart start beating to my favorite song

And all the kids they dance
All the kids all night
Until Monday morning feels another life

I turn the music up
I'm on a roll this time
And heaven is in sight

I turn the music up
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Rumour Has It,Adele,british soul,2011,120,75,62,-5,9,56,221,64,5,65,"Ooh-ooh
Ooh-ooh
Ooh-ooh
Ooh-ooh

She, she ain't real
She ain't gon' be able to love you like I will
She is a stranger
You and I have history, or don't you remember?
Sure, she's got it all
But baby, is that really what you want?

Bless your soul, you've got your head in the clouds
She made a fool out of you and boy, she's bringing you down
She made your heart melt, but you're cold to the core
Now rumour has it, she ain't got your love anymore

Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
Rumour has it (rumour)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Keep Your Head Up,Ben Howard,british singer-songwriter,2011,79,60,51,-9,11,40,265,44,3,66,"I spent my time watchin'
The spaces that have grown between us
And I cut my mind, on second best
All the scars that come with the greenness
And I gave my eyes to the boredom
Still the seabed wouldn't let me in
And I tried my best
To embrace the darkness in which I swim

Now walkin' back, down this mountain
The strength of a turnin' tide
Oh the wind's so soft, and my skin
Yeah the sun was so hot upon my side
Oh lookin' out, at this happiness
I searched for it between the sheets
Oh feelin' blind, and realized

All I was searchin' for was me
Oh oh, all I was searchin' for was me

Oh, yeah
Keep your head up, keep your heart strong
No, no, no, no
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,"Robert's got a quick hand
He'll look around the room, he won't tell you his plan
He's got a rolled cigarette, hanging out his mouth he's a cowboy kid
Yeah found a six shooter gun
In his dad's closet hidden oh in a
Box of fun things, I don't even know what
But he's coming for you, yeah he's coming for you

All the other kids with the pumped up kicks
You'd better run, better run, out run my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet
All the other kids with the pumped up kicks
You'd better run, better run, out run my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Happiness,Jonathan Jeremiah,dutch indie,2011,89,57,53,-10,13,49,182,72,6,49,"What you gonna do?
What you gonna do with people like that?
What you gonna say
What you gonna say that will make them change their ways

Who you gonna find
Who you gonna find to listen anyway
Where you gonna go,
Where you gonna go to try and get it straight
I once found the recipe, for what to do to cure my needs
I packed some things just what I need
Only bare necessities
Asked Mrs Walsh to feed my cat
Call landlord Tate to tell him that
I'm going home where my people live
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Give Me Love,Ed Sheeran,pop,2011,116,33,53,-10,11,11,526,69,5,73,"Give me love like her,
'Cause lately I've been waking up alone,
Paint splattered teardrops on my shirt,
Told you I'd let them go,

And that I'll fight my corner,
Maybe tonight I'll call ya,
After my blood turns into alcohol,
No, I just wanna hold ya.

Give a little time to me or burn this out,
We'll play hide and seek to turn this around,
All I want is the taste that your lips allow,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, give me love,

Give me love like never before,
'Cause lately I've been craving more,
And it's been a while but I still feel the same,
Maybe I should let you go,

You know I'll fight my corner,
And that tonight I'll call ya,
After my blood is drowning in alcohol,
No, I just wanna hold ya.

Give a little time to me or burn this out,
We'll play hide and seek to turn this around,
All I want is the taste that your lips allow,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Gold on the Ceiling,The Black Keys,alternative rock,2011,130,83,51,-5,7,56,224,1,5,69,"Down in the waves
She screams again
Roar at the door
My mind can't take much more

I could never drown

They wanna get my

They wanna get my
Gold on the ceiling
I ain't blind
Just a matter of time
Before you steal it
It's alright
Ain't no blood in my eye

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
