Artist,Song title,Popularity Score,Lyrics
Cheap Trick,I Want You to Want Me,70,"I want you to want me
I need you to need me
I'd love you to love me
I'm beggin' you to beg me
I want you to want me
I need you to need me
I'd love you to love me

I'll shine up my old brown shoes
I'll put on a brand new shirt
I'll get home early from work
If you say that you love me

Didn't I, didn't I, didn't I see you cryin'
Ohh didn't I, didn't I, didn't I see you cryin'
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Billy Joel,Scenes from an Italian Restaurant,60,"A bottle of white, a bottle of red
Perhaps a bottle of rose instead
We'll get a table near the street
In our old familiar place
You and I, face to face

A bottle of red, a bottle of white
It all depends upon your appetite
I'll meet you any time you want
In our Italian Restaurant.

Things are okay with me these days
Got a good job, got a good office
Got a new wife, got a new life
And the family's fine
We lost touch long ago
You lost weight I did not know
You could ever look so good after
So much time.

I remember those days hanging out
At the village green
Engineer boots, leather jackets
And tight blue jeans
Drop a dime in the box play the
Song about New Orleans
Cold beer, hot lights
My sweet romantic teenage nights

Brenda and Eddie were the
Popular steadys
And the king and the queen
Of the prom
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mink DeVille,Spanish Stroll,47,"Hey, Mr. Jim
I can see the shape you're in
Finger on your eyebrow
And left hand on your hip
Thinkin' that you're such a ladykiller
Think you're so slick
Well, alright

(Woo-hoo-hoo-hoo-hoo)
(Woo-hoo-hoo-hoo-hoo)
(Woo-hoo-hoo-hoo-hoo)

Brother Johnny
He caught a plane, and he got on it
Now he's a razor in the wind
And he's got a pistol in his pocket
They say the man is crazy on the coast
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
CHIC,Le Freak - 2018 Remaster,69,"One two

Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!

Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!

Have you heard, about the new dance craze?
Listen to us, I'm sure you'll be amazed
Big fun, to be had by everyone
It's up to you, it surely can be done
Young and old are doing it, I'm told
Just one try and you too will be sold
It's called 'le freak', they're doing it night and day
Allow us, we'll show you the way

Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!

Ah, freak out!
Le freak, c'est chic
Freak out!
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Fleetwood Mac,You Make Loving Fun - 2004 Remaster,58,"Sweet wonderful you
You make me happy with the things you do
Oh, can it be so?
This feeling follows me wherever I go

I never did believe in miracles
But I've a feeling it's time to try
I never did believe in the ways of magic
But I'm beginning to wonder why
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Dire Straits,Sultans of Swing,66,"You get a shiver in the dark,
It's a raining in the park but meantime-
South of the river you stop and you hold everything
A band is blowing Dixie, double four time
You feel alright when you hear the music ring
Well now you step inside but you don't see too many faces
Coming in out of the rain they hear the jazz go down
Competition in other places
Uh but the horns they blowin' that sound
Way on downsouth
Way on downsouth
London town
Check out guitar george, he knows-all the chords
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Don't Stop Me Now - 2011 Mix,76,"Tonight I'm gonna have myself a real good time
I feel alive
And the world I'll turn it inside out, yeah
I'm floating around in ecstasy
So, (don't stop me now)
(Don't stop me)
'Cause I'm having a good time, having a good time

I'm a shooting star leaping through the sky like a tiger
Defying the laws of gravity
I'm a racing car passing by like Lady Godiva
I'm gonna go, go, go, there's no stopping me

I'm burnin' through the sky, yeah
200 degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man out of you

(Don't stop me now)
I'm having such a good time
I'm having a ball
(Don't stop me now)
If you wanna have a good time
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kate Bush,Wuthering Heights,68,"Out on the wily, windy moors
We'd roll and fall in green
You had a temper like my jealousy
Too hot, too greedy

How could you leave me
When I needed to possess you?
I hated you, I loved you, too

Bad dreams in the night
They told me I was going to lose the fight
Leave behind my Wuthering, Wuthering
Wuthering Heights

Heathcliff, it's me, I'm Cathy
I've come home, I'm so cold
Let me in your window

Heathcliff, it's me, I'm Cathy
I've come home, I'm so cold
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Herman Brood & His Wild Romance,Saturday Night,48,"The neon light, of the ""Open all night"",
Was just in time replaced by the magic appearance of a new day-while,
A melancholic Reno was crawling on his back just in,
Front of the supermarket door-way child
Hey girl, on a cold summernight,
As we stood on the corner,
As a man passed by and asked us,
What we DO and what we need,
As he pointed his big fat finger
To the people hangin round at the corner of the - other side of THE street
Oh well SAID
Doin' nothing, just hanging around,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
TOTO,Hold the Line,75,"It's not in the way that you hold me
It's not in the way you say you care
It's not in the way you've been treating my friends
It's not in the way that you stay 'till the end
It's not in the way you look or the things that you say that you'll do

Hold the line
Love isn't always on time
Whoa, whoa, whoa
Hold the line
Love isn't always on time
Whoa, whoa, whoa

It's not in the words that you told me, babe
It's not in the way you say you're mine (uhh)
It's not in the way that you came back to me
It's not in the way that your love set me free
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kate Bush,The Man with the Child in His Eyes,53,"I hear him, before I go to sleep
And focus on the day that's been
I realise he's there
When I turn the light off and turn over

Nobody knows about my man
They think he's lost on some horizon
And suddenly I find myself
Listening to a man I've never known before
Telling me about the sea
All his love is 'til eternity
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
10cc,Dreadlock Holiday,67,"I was walkin' down the street
Concentratin' on truckin' right
I heard a dark voice beside of me
And I looked round in a state of fright
I saw four faces one mad
A brother from the gutter
They looked me up and down a bit
And turned to each other

I say
I don't like cricket oh no
I love it
I don't like cricket oh no
I love it
Don't you walk through my words
You got to show some respect
Don't you walk through my words
'Cause you ain't heard me out yet

Well he looked down at my silver chain
He said I'll give you one dollar
I said you've got to be jokin' man
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Fat Bottomed Girls - Single Version,51,"Oh you gonna take me home tonight
Oh down beside that red fire light
Oh you gonna let it all hang out
Fat-bottomed girls you make the rocking world go round

I was just a skinny lad
Never knew no good from bad
But I knew love before I left my nursery
Left alone with big fat Fanny
She was such a naughty nanny
Hey big woman, you made a bad boy out of me

I've been singing with my band
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Bicycle Race - Remastered 2011,55,"Bicycle, bicycle, bicycle
I want to ride my bicycle, bicycle, bicycle

I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride it where I like

You say black, I say white
You say bark, I say bite
You say shark, I say, hey man
Jaws was never my scene
And I don't like Star Wars

You say Rolls, I say Royce
You say God, give me a choice
You say Lord, I say Christ
I don't believe in Peter Pan
Frankenstein or Superman
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Genesis,Follow You Follow Me - 2007 Remaster,51,"Stay with me
My love, I hope you'll always be
Right here by my side if ever I need you
Oh, my love

In your arms
I feel so safe and so secure
And everyday is such a perfect day to spend
Alone with you

I will follow you, will you follow me?
All of the days and nights that we know will be
I will stay with you, will you stay with me?
Just one single tear in each passing year

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Alice Cooper,How You Gonna See Me Now,49,"Dear darlin' surprised to hear from me?
Bet you're sittin' drinkin' coffee, yawnin' sleepily
Just to let you know
I'm gonna be home soon
I'm kinda awkward and afraid
Time has changed your point of view

How you gonna see me now
Please don't see me ugly babe
'Cause I know I let you down
In oh so many ways
How you gonna see me now
Since we've been on our own
Are you gonna love the man
When the man gets home

Listen darlin' now I'm heading for the west
Straightened out my head but my old heart is still a mess
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Miss You - Remastered,67,"I've been holding out so long
I've been sleeping all alone
Lord, I miss you
I've been hanging on the phone
I've been sleeping all alone
I want to kiss you sometime

Well, I've been haunted in my sleep
You've been starring in my dreams
Lord, I miss you tonight
I've been waiting in the hall
Been waiting on your call
When the phone rings

It's just a friend of mine that say
Hey, what's the matter, man?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bob Marley & The Wailers,"Stir It Up - Live At The Pavillon De Paris, 1977",40,"Stir it up!
Little darling, stir it up!
Come on baby come on and stir it up little darling, stir it up

It's been a long long time since I've got you on my mind
And now you are here
I say it's so clear
To see what we can do, baby, just me and you

Come on and stir it up! Little darling, stir it up!
Come on baby come on and stir it up little darling, stir it up
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Beast Of Burden - Remastered,74,"I'll never be your beast of burden
My back is broad, but it's hurting
All I want, for you to make love to me

I'll never be your beast of burden
I've walked for miles, my feet are hurting
All I want, for you to make love to me

Am I hard enough?
Am I rough enough?
Am I rich enough?
I'm not too blind to see

I'll never be your beast of burden
So let's go home and draw the curtains
Music on the radio, come on, baby, sweet love to me

Am I hard enough?
Am I rough enough?
Am I rich enough?
I'm not too blind to see

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Patrick Hernandez,Born to Be Alive - Original Mix 79,66,"We were born to be alive
We were born to be alive

Born, born to be alive
(Born to be alive)
Yes, we were born
Born
Born
(Born to be alive)

People ask me why
I never find a place to stop
And settle down, down, down
But I never wanted all those things
People need to justify
Their lives, lives, lives

Yes, we were born, born
Born to be alive
(Born to be alive)
Yes, we were born
Born
Born
(Born to be alive)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Dire Straits,Water of Love,41,"High and dry in the long hot day
Lost and lonely every way
Got the flats all around me sky up above
Yes, I need a little water of love

I've been too long lonely and my heart feels pain
Crying out for some soothing rain
I believe I have taken enough
Yes, I need a little water of love

Water of love deep in the ground
But there ain't no water here to be found
Some day, baby, when the river runs free
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bette Midler,The Rose,67,"Some say love, it is a river
That drowns the tender reed
Some say love, it is a razor
That leaves your soul to bleed
Some say love, it is a hunger
An endless aching need
I say love, it is a flower
And you, its only seed

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,The Logical Song - Remastered 2010,72,"When I was young
It seemed that life was so wonderful
A miracle
Oh, it was beautiful, magical

And all the birds in the trees
Well they'd be singing so happily
Oh, joyfully
Oh, playfully, watching me

But then they sent me away
To teach me how to be sensible
Logical
Oh responsible, practical

And they showed me a world
Where I could be so dependable
Oh, clinical
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
KISS,I Was Made For Lovin' You,78,"Hmm, yeah
Do, do, do, do, do, do, do, do, do
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do, do, do
Do, do, do, do, do, do, do
Tonight I want to give it all to you
In the darkness
There's so much I want to do
And tonight I want to lay it at your feet
'Cause girl, I was made for you
And girl, you were made for me
""I was made for lovin' you baby""
You were made for lovin' me
And I can't get enough of you baby
Can you get enough of me

Tonight I want to see it in your eyes
Feel the magic
There's something that drives me wild
And tonight we're gonna make it all come true
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Police,Message In A Bottle,74,"Just a castaway.
An island lost at sea.
Another lonely day
With no one here but me.
More loneliness
Than any man could bear.
Rescue me before I fall into despair.

I'll send an SOS to the world.
I'll send an SOS to the world.
I hope that someone gets my
Message in a bottle.
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Art Garfunkel,Bright Eyes,57,"Is it a kind of dream
Floating out on the tide
Following the river of death downstream?
Oh, is it a dream?

There's a fog along the horizon
A strange glow in the sky
And nobody seems to know where you go
And what does it mean?
Oh, is it a dream?

Bright eyes
Burning like fire
Bright eyes
How can you close and fail?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,Take The Long Way Home - 2010 Remastered,64,"So you think you're a Romeo
Playing a part in a picture show
Well take the long way home
Take the long way home

You're the joke of the neighborhood
Why should you care if you're feeling good?
Take the long way home
Take the long way home

There are times that you feel you're part of the scenery
All the greenery is comin' down boy
And then your wife seems to think you're part of the furniture
Oh, it's peculiar she used to be... so... nice
Lonely days turn to lonely nights
Take a trip to the city lights
Take the long way home
Take the long way home

You never see what you want to see
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,Breakfast In America - Remastered,70,"Take a look at my girlfriend
She's the only one I got
Not much of a girlfriend
I've never seem to get a lot

Take a jumbo across the water
Like to see America
See the girls in California
I'm hopin' it's going to come true
But there's not a lot I can do

Could we have kippers for breakfast?
Mummy dear, Mummy dear
They gotta have 'em in Texas
'Cause everyone's a millionaire
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
"Earth, Wind & Fire",Boogie Wonderland,73,"Dance
Boogie wonderland
Dance
Boogie wonderland
Midnight creeps so slowly into hearts,
Of men who need more than they get
Daylight deals a bad hand,
To a woman that has laid to many bets

The mirror stares you in the face and says
Baby, uh uh it dont work
You say your prayers through you dont care
You dance and shake the hurt
Dance
Boogie wonderland
Dance
Boogie wonderland

Sound fly through the night
I chase my vinyl drams to boogie wonderland
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Cure,Boys Don't Cry - Single Version,63,"I would say I'm sorry
If I thought that it would change your mind
But I know that this time
I have said too much, been too unkind

I try to laugh about it
Cover it all up with lies
I try to laugh about it
Hiding the tears in my eyes

'Cause boys don't cry
Boys don't cry

I would break down at your feet
And beg forgiveness, plead with you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Donna Summer,MacArthur Park - Single Version,52,"Spring was never waiting for us, dear
It ran one step ahead
As we followed in the dance

MacArthur's Park is melting in the dark
All the sweet, green icing flowing down
Someone left the cake out in the rain
I don't think that I can take it
'Cause it took so long to bake it
And I'll never have that recipe again
Oh no
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Michael Jackson,Don't Stop 'Til You Get Enough - Single Version,74,"You know, I was
I was wondering, you know, if
If you could keep on, because
The force, it
It's got a lot of power and
It make me feel like, ah
It, it make me feel like, ah
(Woo!)

Lovely, is the feeling now
Fever, temperature's rising now
Power
(Oh, power)
Is the force, the vow
That makes it happen
It asks no questions why
(Ooh)

So get closer
(Closer now)
To my body now
Just love me
'Til you don't know how
(Ooh)

Keep on with the force, don't stop
Don't stop 'til you get enough
Keep on with the force, don't stop
Don't stop 'til you get enough
Keep on with the force, don't stop
Don't stop 'til you get enough
Keep on with the force, don't stop
Don't stop 'til you get enough

Touch me
And I feel on fire
Ain't nothing, ah
Like a love desire
(Ooh)

I'm melting
(I'm melting now)
Like hot candle wax
Sensation
(Aah, sensation)
Lovely where we're at
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Clash,London Calling - Remastered,73,"London calling to the faraway towns
Now war is declared and battle come down
London calling to the underworld
Come out of the cupboard, you boys and girls

London calling, now don't look to us
Phony Beatlemania has bitten the dust
London calling, see we ain't got no swing
'Cept for the ring of that truncheon thing

The ice age is coming, the sun is zooming in
Meltdown expected, the wheat is growing thin
Engines stop running, but I have no fear
'Cause London is drowning and I live by the river

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Madness,Night Boat to Cairo,34,"Night Boat To Cairo

It's just gone noon
Half past monsoon
On the banks of the River Nile
Here comes the boat
Only half-afloat
Oarsman grins a toothless smile

Only just one more
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,Goodbye Stranger - 2010 Remastered,66,"It was an early morning yesterday
I was up before the dawn
And I really have enjoyed my stay
But I must be moving on
Like a king without a castle, like a queen without a throne
I'm an early morning lover and I must be moving on

Now I believe in what you say
Is the undisputed truth
But I have to have things my own way
To keep me in my youth
Like a ship without an anchor, like a slave without a chain
Just the thought of those sweet ladies sends a shiver through my veins
And I will go on shining, shining like brand new
I'll never look behind me, my troubles will be few

Goodbye stranger, it's been nice
Hope you'll find your paradise
Tried to see your point of view
Hope your dreams will all come true
Goodbye, Mary, goodbye, Jane
Will we ever meet again?
Feel no sorrow, feel no shame
Come tomorrow, feel no pain

Sweet devotion (Goodbye, Mary)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Electric Light Orchestra,Don't Bring Me Down,70,"You got me runnin', goin' out of my mind
You got me thinkin' that I'm wastin' my time
Don't bring me down
No, no, no, no, no, ooh-ooh-hoo

I'll tell you once more before I get off the floor
Don't bring me down

You wanna stay out with your fancy friends
I'm tellin' you it's got to be the end
Don't bring me down
No, no, no, no, no, ooh-ooh-hoo

I'll tell you once more before I get off the floor
Don't bring me down

Don't bring me down
Grooss
Don't bring me down
Grooss
Don't bring me down
Grooss
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bee Gees,Tragedy,64,"Here I lie, in a lost and lonely part of town
Held in time, in a world of tears I slowly drown
Goin' home, I just can't make it all alone

I really should be holding you, holding you
Loving you, loving you

Tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no-one to love you, you're goin' nowhere

Tragedy
When you lose control and you got no soul
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no-one beside you, you're goin' nowhere

Night and day, there's a burning down inside of me
Oh, oh
Burning love, with a yearning that won't let me be
Down I go and I just can't take it all alone

I really should be holding you, holding you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Michael Jackson,Off the Wall,62,"When the world is on your shoulder
Gotta straighten up your act and boogie down
If you can't hang with the feeling
Then there ain't no room for you, this part of town
'Cause we're the party people, night and day
Livin' crazy, that's the only way

So tonight
Gotta leave that nine to five upon the shelf
An' just enjoy yourself
Groove
Let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall

Life ain't so bad at all
Live your life off the wall
(Live your life off the wall)
Live it off the wall

You can shout out all you want to
'Cause there ain't no sin an' folks all gettin' loud
If you take the chance an' do it
Then there ain't no one who's gonna put you down
'Cause we're the party people, night an' day
Livin' crazy that's the only way

So tonight
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Fischer-Z,The Worker,44,"The hated journey on the train,
Always been the same,
Looking out windows,
Second class and second best,
What a waste of time,
Sleep for five stops in a row,
Prepare yourself to go,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
KISS,Sure Know Something,52,"I've been up and down, I've been all around
I was mystified, almost terrified
But late at night I still hear you
Call my name

I've been on my own, I've been all alone
I was hypnotized, I felt paralyzed
You broke my heart and I still can feel the pain
(Feel the pain)

I've been a gambler, but I'm nobody's fool
And I sure know something
Sure know something
You showed me things they never taught me in school
And I sure know something
Sure know something
No one can make me feel the way that you do
And I sure know something, a-ha

I was seventeen, you were just a dream
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Dan Hartman,Relight My Fire - Single Version,52,"Help me escape this feelin' of insecurity
I need you so much but I don't think you really need me
But if we all stand up in the name of love
And state the case of what we're dreamin' of
I've got to say I only dream of you
But like a thief in the night
You took away the love that I knew

Relight my fire (well)
Your love is my only desire
Relight my fire
Cause I need your love

Turn back the times 'til the days when our love was new
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,Weekend Love,44,"The sooner it will be the better
Gonna have to see her right away
It's been a long time since the day I met her
I can't handle being without her one more day
Gonna get the feeling that I'm going insane
Feel so stupid using these old cliches
You better hurry up baby, I ain't lying
We're down to nothing but a waste of time
Still remember everything she said
Make no promises, make no debts
All I want is just a one day weekend love
She sips her wine without a flinching
(She sips her wine without a flinching)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bee Gees,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",70,"Girl, I've known you very well
I've seen you growing every day
I never really looked before
But now you take my breath away

Suddenly you're in my life
A part of everything I do
You got me workin' day and night
Just tryin' to keep a hold on you

Here in your arms I found my paradise
My only chance for happiness
And if I lose you now, I think I would die
Oh, say you'll always be my baby, we can make it shine
We can take forever, just a minute at a time

More than a woman
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Michael Jackson,Rock with You - Single Version,73,"Girl, close your eyes
Let that rhythm get into you
Don't try to fight it
There ain't nothing that you can do
Relax your mind
Lay back and groove with mine

You gotta feel that heat
And we can ride the boogie
Share that beat of love

I want to rock with you (all night)
Dance you into day (sunlight)
I want to rock with you (all night)
Rock the night away

Out on the floor
There ain't nobody there but us
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Earth & Fire,Weekend,49,"Sunday and it's so hard to say goodbye
I don't know what to do
Passing the days without you
Friday night when I'll see you again
You'll make a fool out of me
I don't wanna be your lover for the weekend
Sometimes when I'm looking at your face
There's something in your eyes that makes me realize
We've got no chance if we're going on this way
You mean such a lot to me
I don't wanna be your lover for the weekend

Love in a woman's heart
I wanna have the whole and not a part
It's strange that this feeling grows more and more
'Cause I've never loved someone like you before

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Frank Zappa,Dancin' Fool,40,"One, two, three, four

I don't know much about dancin'
That's why I got this song
One of my legs is shorter than the other
And both my feet's too long
'Course now right along with 'em
I got no natural rhythm
But I go dancin' every night
Hopin' one day I might get it right

I'm a dancin' fool (dancin' fool)
Dancin' fool
Dancin' fool (dancin' fool)
Dancin' fool

I hear that beat, I jump outa my seat
But I can't compete, 'cause I'm a

Dancin' fool (dancin' fool)
Dancin' fool

The disco folks all dressed up
Like they's fit to kill
I walk on in and see 'em there
I walk on in and see 'em there
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ellen Foley,We Belong to the Night,40,"The burning sun hangs over the city
You and me baby, we don't feel nothing at all
From nine to five we're lost
This life ain't so pretty
But when the sun goes down
We know that we can stay and talk

I just can't wait
For the night to come
Cause when the shadows cover the light
We're the only ones
Cause baby, we
We belong to the night
Yes, baby, we
We belong to the night
By day we just survive
But after dark, we come alive
Cause baby, we
We belong to the night
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Diesel,Sausolito Summernight - Digitally Remastered 2017,39,"We left for Frisco in your Rambler
The radiator running dry
I've never been much of a gambler
And had a preference to fly

You said, ""Forget about the airline
Let's take the car and save the fare""
We blew a gasket on the Grapevine
And eighty dollars on repairs

All aboard (Sausalito summernight)
All aboard

Hot summer night in Sausalito
Can't stand the heat another mile
Let's drop a quarter in the meter
And hit the sidewalk for a while
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Cure,A Forest - Remastered Version,53,"Come closer and see
See into the trees
Find the girl
While you can
Come closer and see
See into the dark
Just follow your eyes
Just follow your eyes

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Another One Bites The Dust - Remastered 2011,74,"Are you ready, hey
Are you ready for this
Are you hanging on the edge of your seat
I need a break, ah
Are you ready, hey
Are you ready for this
Are you hangin' on the edge of your seat
I need a break, ah
Are you ready, hey
Are you ready for this
Are you hangin' on the edge of your seat
I need a break beat
Outta the doorway the bullets rip
Repeating to the sound of the beat, hey
Yo, a for the kids in the club that's ready to get bugged
Another one bites the dust
A for the dogs with the burners, that wanna blast off
Another one bites the dust
And for the kids on the blocks, shootin' at the crooked cops, blaow
Another one bites the dust
And another one gone, Wyclef, and another one gone, Dirty Cash
Another one bites the dust, Young Free, Freddie where you at?
Steve walks wearily down the street
With the brim pulled way down low
Some cat up in Brooklyn just got robbed with a Kangol
Are you ready, hey
Are you ready for this
Are you hanging on the edge of your seat
Out of the doorway, the bullets rip
Repeating to the sound of the beat, hey
My man got shot, and the block got hot
Another one bites the dust
Yo, hey I hear more shots, this is like Fort Knox kid
Another one bites the dust
Yo, hold your breath, and another one gone, hold your breath, and another gone
Hold your breath, another one bites the dust, yo, check it
If you're a soldier at ease
My military style is known to murder Nazi's, Brooklyn to Germany (ohhh, yeah)
My kamikaze will blow the U2, they hire Idi Amin in Timbuktu
Whether you indo, or do the Voodoo
You can't foresee this unless I bring the previews, yeah, yeah
Yo, it's the number one rappin' band, come on
Yo, this review will be critically acclaimed
Leave you in critical pain, clinically insane
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
AC/DC,Back In Black,83,"Back in black
I hit the sack
I've been too long I'm glad to be back Yes, I'm let loose
From the noose
That's kept me hanging about
I've been looking at the sky
'Cause it's gettin' me high
Forget the hearse 'cause I never die
I got nine lives
Cat's eyes
Abusin' every one of them and running wild

'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back, back
(Well) I'm back in black
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bob Marley & The Wailers,Redemption Song,71,"Old pirates, yes, they rob I
Sold I to the merchant ships
Minutes after they took I
From the bottomless pit

But my hand was made strong
By the hand of the Almighty
We forward in this generation
Triumphantly

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs
Redemption songs

Emancipate yourselves from mental slavery
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
AC/DC,You Shook Me All Night Long,78,"She was a fast machine she kept her motor clean
She was the best damn woman that I ever seen
She had the sightless eyes telling me no lies
Knocking me out with those American thighs
Taking more than her share
Had me fighting for air
She told me to come but I was already there
'Cause the walls start shaking
The earth was quaking
My mind was aching
And we were making it

And you shook me all night long
Yeah you shook me all night long

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Crazy Little Thing Called Love - Remastered 2011,66,"This thing called love
I just can't handle it
This thing called love

I must get 'round to it, I ain't ready
Crazy little thing called love

This thing (this thing) called love (called love)
It cries (like a baby) in a cradle all night
It swings (woo-ooo), it jives (woo-woo)
It shakes all over like a jelly fish
I kinda like it
Crazy little thing called love

There goes my baby
She knows how to rock and roll
She drives me crazy
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,Long Blond Animal,39,"Get out of my parlour, won't you
Get out of my life
Put on that crazy raincoat
You're gonna need it tonight
Get out of my parlour
For I cut you with a knife
Don't want your disease
I don't need your silly jive

I was an innocent by-stander
I was middle of the roadman for you
Then you took me for a ride, now baby
Showed me all the things you could do
I always listen to the good looking lady
A mistake I won't make no more
'Cause you might be a goodlooking lady
You're rotten to the core

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Fischer-Z,So Long,49,"When I read your letter, I couldn't believe that you're gone
I dialed your number, but no one answered the phone
I asked your friends to tell me if they knew where you were
They said they thought that you were ill

I hired a detective to try and find out where you are
He managed to trace you, he said you were living in France
A watchman saw you climb into someone else's car
And drive off laughing in the night

Why didn't you tell me?
Not leave me this way
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Dire Straits,Tunnel of Love (Intro: The Carousel Waltz),43,"Getting crazy on the waltzers
But it's the life that I choose, yeah
Sing about the sixblade, sing about the switchback
And a torture tattoo

And I been riding on a ghost train
Where the cars they scream and slam
And I don't know where I'll be tonight
But I'd always tell you where I am

In a screaming ring of faces
I seen her standing in the light
She had a ticket for the races
Yeah, just like me, she was a victim of the night

I put my hand upon the lever
Said, let it rock and let it roll
I had a one arm bandit fever
There was an arrow through my heart and my soul

And the big wheel keep on turning
Neon burning up above
And I'm just high on the world
Come on and take a low ride with me, girl
On the tunnel of love
Yeah, love

It's just a danger, danger
When you're riding at your own risk
She said, ""You are the perfect stranger""
She said, ""Baby, keep it like this""
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
ABBA,Happy New Year,50,"No more champagne
And the fireworks are through
Here we are, me and you
Feeling lost and feeling blue

It's the end of the party
And the morning seems so grey
So unlike yesterday
Now's the time for us to say

Happy New Year, happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
