track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Lyrics
Sideways,Dierks Bentley,spotify:track:19DnL1HnJiijuEfaiS0Eus,0.624,0.915,5,-2.627,0,0.0364,0.141,0,0.386,0.815,108.046,184160,3,18.77458,9,1,"Hey girl, what's your name?
It's so loud in here, I can't hear a thing
But I sure do like your style
And I can see you came to rock
In your blue jeans and white tank top
Man that look drives me wild

And it's hey now here we go
DJ don't you play nothing slow
Keep those girls out on the floor
Gotta make them want to come back for more.
Been here since the sun went down
Be here when it comes back around
Worked all week, it's time to play
Gonna get a little bit sideways
Sideways

Ain't no need to fight
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Open Your Heart,Crush 40,spotify:track:5HeiUTnqTxWdHuAI6RYdrR,0.359,0.889,2,-6.544,1,0.148,7.37e-06,0.00466,0.0695,0.318,157.915,289067,4,60.56301,7,0,"Whoa-
All right!

Thunder, rain and lightning
Danger, water rising
Clamor, sirens wailing
It's such a bad sign

Shadows of dark creatures
Steel clouds floating in the air
People run for shelter
What's gonna happen to us?

All the steps we take, all the moves we make
All the pain at stake
I see the chaos for everyone
Who are we? What can we do?

You and I are same in the way that
We have our own styles that we won't change
Yours is filled with evil and mine's not
There is no way I can lose

Can't hold on much longer
(But I will never let go!)
I know it's a one-way track
(Tell me now how long this'll last!)
I'm not gonna think this way
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,spotify:track:3tC8SJpOwJhDg8WGG1NKGR,0.719,0.863,5,-4.148,0,0.435,0.414,5.19e-06,0.147,0.765,87.579,239933,1,33.79421,14,1,"Yeah, one for the treble, two for the bass
Welcome to the great incredible paper chase
Keep your boots laced if you want to keep pace

Oh no, niggas ain't scared to hustle
It's been seven days, the same clothes
Ask them originals 'cause they know
Mos Def, Nate Dogg and Pharaoh
Step away from the mic, they too cold
The funk might fracture your nose

Say my name, say my name
Observe how I stake my claim, I independently lay it down
And played my game, my own two raise my flame
'Cause dick ridin' ain't my thang

I earned what they said I wouldn't
I got it the way they said I couldn't
But now I'm gettin' it and they whole grill is crooked
Mad 'cause I'm gettin' caked out from my bookings

When y'all was askin' permission, I just stepped up and took it
What? The kid's better buy my rookie card now
'Cause after this year, the price ain't comin' down
And if you got a joint bubblin' then get money now

'Cause in a minute, there's gonna be some real trouble comin' out
Just a warnin', as usual some cats won't heed it
The hard headed always gotta feel it to believe it
It's a shame that jealous gaze is too short to see it

But when they face hit the cement, they nod in agreement
We could play nice and decent or dirty like the 7-1 Precinct
Call it a day or make it a long evenin'
You keep on schemin', man, give me some more reason
To have the women in your mama's church screamin', ""Lord Jesus""

Harder than y'all 'cause, I'm smarter than y'all
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Every Man Has a Molly,Say Anything,spotify:track:3PBhfbNoFxqnVcVjPBZIKD,0.521,0.818,9,-4.261,1,0.0355,0.0015,0,0.238,0.539,113.094,185117,4,48.80971,7,0,"Here I am laid bare at the end of my rope
I've lost all hope, so long
Molly Connolly just broke up with me
Over the revealing nature of the songs

You goddamn kids had best be gracious
With the merch money you spend
'Cause for you, I won't ever have rough sex
With Molly Connolly again

Here I am, laid down at the end of my rope
Wishing I had not been born
Now I've spewed too much, I can never shut it up
I thought you should be warned
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
No More (Baby I'ma Do Right),3LW,spotify:track:5zn1hpm9N0ylKB7kOtpCw2,0.721,0.723,2,-7.08,0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440,4,34.44883,12,1,"I'm getting a little tired of your broken promises, promises
Looking at your pager, seeing different numbers and numbers
Call you on your cell, you hangin' with the fellas, the fellas
Hangin' with my girls, you always getting jealous 'n' jealous

I was with you when you didn't have no dollars, no dollars
Hangin' at the crib, chillin' wit' yo' momma, yo' momma
Never fronted you, never brought the drama, the drama
Now, you flipped the script, playa, please

(No, I'm not the one)
Say it again, say it again, oh
(No, I'm not the one)
You do or you don't

You do or you don't, don't
You will or you won't, won't
No more
No more, baby, I'ma do right
You can or you can't, can't
Be a man, be a man, man
No more
No more, baby, I'ma do right

You treat me like a lady when you open doors and doors
But then you wanna front when you wit' your boys, your boys
How you gonna play me when I bought yo' clothes, yo' clothes?
The ones that you be wearin' when you wit' your dogs, your dogs

You know you never thought that I would have the nerve, the nerve
To think about it more since you at the curb, the curb
Blowin' up my pager, say you want a chance, a chance
Listen when I say, playa, please

You do or you don't, don't
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Can't Stay,Dave Hollister,spotify:track:2aJpRgyHYENSWWCHl1stQz,0.409,0.42,11,-7.764,1,0.041,0.00488,0,0.146,0.0412,118.711,377400,3,29.91902,18,1,"Girl, I gotta go, I can't stay
You said things would change
But girl, things are still the same
Girl, I gotta go, I can't stay

We stay together putting the front on
I'd rather be on my own
When we first met things were fine
We went out to dine

We strolled the beach
Holding hands sharing quality time
What happened between then and now
The love we shared was lost somehow

My friends tried to tell me
That we're moving too fast
But how could I know the feelings would pass
It wouldn't last

I know I should have left a long time ago
But I stayed to see
Still hoping and praying you still love me

Girl, I gotta go, I can't stay
You said things would change
But girl, things are still the same
Girl, I gotta go, I can't stay

Listen, I took you in treated your children as mine
Then we laid and made love
And you had my son what a precious time
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The Pale Haunt Departure,Novembers Doom,spotify:track:20kB6l2aDn4OGteSAUOMQJ,0.506,0.968,1,-5.509,1,0.0827,0.000496,0.611,0.326,0.0992,109.564,344707,3,41.3711,8,0,"Born upon angelic dirt
We crawl from filth to rise
Speak my name for the sake of life
For this creed will slowly turn

Light escapes this shell of mine
The pale haunt departure
A dying wish to rise again
And leave behind a scarecrows fate

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
One More,Turisas,spotify:track:5BTJFRyv5i6ZBB3JdR8TP3,0.287,0.777,1,-5.959,0,0.04,0.00113,0.246,0.107,0.24,120.041,410187,4,34.33167,20,0,"Gathered round the wooden table
Same tavern as the nights before
I brace myself against the gable
Sunlight pushes its way through the gap in the door

As the golden sunbeams reach my eyes
I stand up and raise my pint up high

One more for our brothers who fought beside us
One more and forward again
Once more, we'll fight and conquer
Until we'll meet again

Staring at the stools not taken
I reach for my tankard of ale
The silence remains unbroken
All you hear is a tinkle of mail

As the golden sunbeams reach my eyes
I stand up and raise my pint up high

One more for our brothers who fought beside us
One more and forward again
Once more, we'll fight and conquer
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Love You Out Loud,Rascal Flatts,spotify:track:2WsWOqZk5YKJD1WTGKihRp,0.621,0.874,8,-2.823,1,0.0338,0.151,0,0.287,0.712,97.079,185493,4,33.20239,10,1,"I have always been a little shy
I've always been the quiet type till now
And I never let my feelings show
I never let anybody know
Just how much I was so deep in love
But now that you're in my arms

I'm gonna stand on a rooftop, climb up a mountaintop
Baby, scream and shout
I wanna sing it on the radio, show it on a video
Baby, leave no doubt
I want the whole world to know just what I'm all about
I love to love you out loud
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Walking In Memphis,Lonestar,spotify:track:3c9WJhG3QvTtHmwKb5wz3i,0.68,0.717,0,-5.184,1,0.0286,0.27,0,0.075,0.664,129.035,257733,4,22.81851,9,1,"Put on my blue suede shoes and I boarded the plane
Touched down in the land of the Delta Blues
In the middle of the pouring rain
W.C. Handy, won't you look down over me
Yeah, I've got a first-class ticket
And I'm as blue as a boy can be

I was walking in Memphis
Walking with my feet ten feet off of Beale
I was walking in Memphis
But do I really feel the way I feel? Yeah

Saw the ghost of Elvis
Down on Union Avenue
I followed him up to the gates of Graceland
Then watched him walk right through
Now security, they did not see him
They just hovered around his tomb
There's a pretty little thing
Waiting for The King
Down in the Jungle Room
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Everything You Want,Vertical Horizon,spotify:track:4cKGldbhGJniI8BrB3K6tb,0.637,0.759,3,-6.389,0,0.0305,0.0504,0,0.0642,0.741,93.898,257067,4,78.35263,9,1,"Somewhere, there's speaking, it's already coming in
Oh, and it's rising at the back of your mind
You never could get it unless you were fed it
Now you're here and you don't know why

But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen, listen and wait for the
Echoes of angels who won't return

He's everything you want, he's everything you need
He's everything inside of you that you wish you could be
He says all the right things at exactly the right time
But he means nothing to you and you don't know why

You're waiting for someone to put you together
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Toxicity,System Of A Down,spotify:track:0snQkGI5qnAmohLE7jTsTn,0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,218933,3,37.12589,9,1,"Conversion, software version 7.0
Looking at life through the eyes of a tire hub
Eating seeds as a pastime activity
The toxicity of our city, of our city

You, what do you own, the world?
How do you own disorder, disorder?
Now, somewhere between the sacred silence
Sacred silence and sleep
Somewhere, between the sacred silence and sleep
Disorder, disorder, disorder
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Best I Ever Had (Grey Sky Morning),Vertical Horizon,spotify:track:2EVNYzHWebyLvKxPX6Ozt8,0.441,0.563,6,-7.274,1,0.0251,0.0141,3.69e-06,0.101,0.209,85.711,270800,4,46.24269,10,1,"So, you sailed away
Into a grey sky morning
Now I'm here to stay
Love can be so boring

Nothing's quite the same now
I just say your name now

But it's not so bad
You're only the best I ever had
You don't want me back
You're just the best I ever had

So, you stole my world
Now I'm just a phony
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Inside Your Heaven,Bo Bice,spotify:track:6SZBK8Z2Tdv7vgO3ZJnHTN,0.513,0.606,1,-5.866,1,0.0274,0.347,1.33e-06,0.0879,0.201,134.955,252760,4,49.74686,9,1,"I've been down
Now I'm blessed
I felt a revelation coming around
I guess its right, it's so amazing
Everytime I see you I'm alive
You're all I've got
You lift me up
All my dreams are in your eyes

I wanna be inside your heaven
Take me to the place you cry from
When the storm blows your way
I wanna be earth that holds you
Every bit of air you're breathin' in
A soothin' wind
I wanna be inside your heaven

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
All Around Me,Flyleaf,spotify:track:1zN6ynJG4PdR61YWv4PQ3Y,0.473,0.871,9,-4.893,1,0.0456,0.0216,0,0.0525,0.47,146.975,198507,4,15.45451,8,1,"My hands are searching for you
My arms are outstretched towards you
I feel you on my fingertips
My tongue dances behind my lips for you
This fire runs in through my being
Burning, I'm not used to seeing you

I'm alive
I'm alive

I can feel you all around me
Thickening the air I'm breathing
Holding on to what I'm feeling
Savoring this heart that's healing

My hands float up above me
And you whisper you love me
And I begin to fade
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Heavy Metal Drummer,Wilco,spotify:track:4xmeLj3uVcoAwgDtwM4MbG,0.661,0.66,7,-9.061,1,0.0373,0.0257,0.00977,0.256,0.814,120.617,188840,4,18.26074,11,0,"Well, I sincerely miss those heavy metal bands
I used to go see on the landing in the summer
She fell in love with the drummer
She fell in love with the drummer
She fell in love

Shiny, shiny pants and bleached blonde hair
A double kick drum by the river in the summer
She fell in love with the drummer
Another, then another
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Battle Metal,Turisas,spotify:track:2JRvamzTwF8WtJ71MPhIIc,0.218,0.881,7,-5.049,1,0.0577,0.000101,0.423,0.375,0.382,105.116,263267,3,28.99461,15,0,"A name uttered with fear
No smile, no tears
They'll crush your skull with a blow
And pile them in a row

The heart of Turisas was forged by four winds
In a smithy high up in the skies
On an anvil of honour, with a hammer of blood
The Four Winds pounded

Battle, Battle Metal
Battle, Battle Metal
Battle, Battle Metal
Battle, Battle Metal
As the battle rages the dearest to you, you hold in your hand
And stick in their lungs
Battle, Battle Metal
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,spotify:track:76fUOrKOcUnAceODDPBidy,0.656,0.668,9,-5.251,1,0.0303,0.0626,2.78e-06,0.179,0.617,114.905,219813,4,39.94924,10,1,"Her daddy gave her first pony
Then told her to ride
She climbed high in that saddle
Feel I don't know how many times
He taught her a lesson that she learned
Maybe a little too well

Cowgirls don't cry
Ride, baby, ride
Lessons in life are going to show you in time
Soon enough, you're gonna know why
It's gonna hurt every now and then
If you fall, get back on again
Cowgirls don't cry

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Paciencia Y Fe,Olga Merediz,spotify:track:5kRGhvnoCWgw7cNgwSSQI2,0.544,0.407,2,-8.158,1,0.117,0.72,0,0.176,0.574,84.165,295000,4,39.03814,14,0,"Calor
Calor
Calor
Calor
Calor
Calor
Ay, Mama
The summer's hottest day
Paciencia y fe
Paciencia y fe
Ay carajo, it's hot!
But that's okay
Mama would say
""Paciencia y fe""
It was hotter at home in La Vibora
The Washington Heights of Havana
A crowded city of faces the same as mine
Back as a child in La Vibora
I chased the birds in the plaza
Praying, Mama, you would find work
Combing the stars in the sky for some sort of sign
Ay, Mama, so many stars in Cuba
En Nueva York, we can't see beyond our streetlights
To reach the roof, you gotta bribe the supa
Ain't no cassiopia in Washington Heights
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Let Them Be Little,Billy Dean,spotify:track:1QvCbkLDuF7yX7gIUDJUmp,0.54,0.516,1,-5.221,1,0.0246,0.266,0,0.204,0.285,135.9,225653,4,50.28883,9,1,"I can remember when you fit in the palm of my hand.
You felt so good in it; no bigger than a minute.
How it amazes me you're changin' with every blink.
Faster than a flower blooms, they grow up all too soon.

So let them be little,
'Cause they're only that way for a while.
Give 'em hope, give them praise,
Give them love every day.
Let 'em cry, let 'em giggle,
Let 'em sleep in the middle,
Oh, but let them be little.

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,spotify:track:0nnxf8p851ZR49KFnGWVsB,0.738,0.983,5,-4.374,0,0.0855,0.038,5.93e-06,0.183,0.957,92.998,235760,4,42.98635,7,1,"(This one goes out to you and yours, worldwide)

I say hey, I'll be gone today
But I'll be back all around the way
It seems like everywhere I go
The more I see, the less I know
But I know one thing
That I love you (baby girl)
I love you, I love you, I love you

I've been a lot of places all around the way
I've seen a lot of joy and I've seen a lot of pain
But I don't want to write a love song for the world
I just want to write a song about a boy and a girl

Junkies on the corner always calling my name
And the kids on the corner playing ghetto games
When I saw you getting down, well, I hope it was you
And when I look into your eyes I knew it was true

I say hey, I'll be gone today
But I'll be back all around the way
It seems like everywhere I go
The more I see, the less I know
But I know one thing
That I love you (baby girl)
I love you, I love you, I love you

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The First Cut Is The Deepest,Sheryl Crow,spotify:track:5k0qt96tQqlhqDeBqOdi5v,0.502,0.719,2,-5.12,1,0.0346,0.0405,0,0.163,0.694,159.985,226053,4,35.17681,9,1,"I would have given you all of my heart
But there's someone who's torn it apart
And he's taken just all that I had
But if you want, I'll try to love again
Baby, I'll try to love again but I know

The first cut is the deepest
Baby, I know the first cut is the deepest
But when it comes to bein' lucky he's cursed
And when it comes to lovin' me he's worst

I still want you by my side
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Smooth Criminal,Alien Ant Farm,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4,31.01433,9,1,"As he came into the window
Was a sound of a crescendo
He came into her apartment
He left the bloodstains on the carpet
She was sitting at the table
He could see she was unable
So she ran into the bedroom
She was struck down
It was her doom

Annie, are you OK?
Are you OK?
Are you OK, Annie?
Annie, are you OK?
You OK?
Are you OK, Annie?
Annie, are you OK?
You OK?
You OK, Annie?
Annie, are you OK?
You OK?

Are you OK, Annie?

Annie, are you OK?
Will you tell us that you're OK?
There's a sign at the window
That he struck you
A crescendo, Annie
He came into your apartment
He left the bloodstains on the carpet
And then you ran into the bedroom

You were struck down
It was your doom

Annie, are you OK?
You OK?
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
She's Everything,Brad Paisley,spotify:track:3dAgQFdruU8ufWc5GE05xC,0.355,0.478,0,-8.323,1,0.0335,0.569,2.9e-06,0.194,0.269,102.971,266920,4,47.60763,9,1,"She's a yellow pair of runnin' shoes
A holy pair of jeans
She looks great in cheap sunglasses
She looks great in anything

She's ""I want a piece of chocolate""
""Take me to a movie""
She's ""I can't find a thing to wear""
Now and then she's moody

She's a Saturn with a sunroof
With her brown hair a-blowin'
She's a soft place to land
And a good feelin' knowin'

She's a warm conversation
That I wouldn't miss for nothin'
She's a fighter when she's mad
And she's a lover when she's lovin'

And she's everything I ever wanted
And everything I need
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
White Washed,August Burns Red,spotify:track:5xcYdoWHur82zA5KYHlgJk,0.214,0.964,10,-5.248,0,0.0733,7.07e-06,0.114,0.453,0.328,106.536,226253,4,39.39442,10,0,"Push your controlling values aside
And dissect your own life
It's not about my beliefs
It's about personal choice
It breaks your heart to see me consume
But it shatters mine to see people follow you
You ask me to be blameless
You ask me to be blameless
You ask me to be blameless
But who are you to decide what's right?
Don't say another word

Don't say another word
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
The Horror,RJD2,spotify:track:7G4U7IDXXPz1PFlKpfDGoZ,0.558,0.894,1,-1.334,1,0.0934,0.0149,0.845,0.182,0.386,95.042,251627,4,30.77643,10,0,"(Time, time, time, time, time)
Time, time, time, time, to understand the world.
Time, time, time, time, time, to understand the monster. (Monster, monster, monster, monster.)

(Hey, hey, hey, hey, hey, hey)

(Time, time, time, time, time)
Time, time, time, time, to understand the world.
Time, time, time, time, to understand the world.

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Wish You Were Here,Incubus,spotify:track:6KtLECDztnah63TNmV4Plw,0.246,0.768,9,-7.48,1,0.0387,0.000631,0.301,0.102,0.35,169.873,212733,4,35.41351,11,1,"I dig my toes into the sand
The ocean looks like a thousand diamonds strewn across a blue blanket
I lean against the wind, pretend that I am weightless
And in this moment, I am happy
Happy

I wish you were here
I wish you were here
I wish you were here
I wish you were here

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
These Boots Are Made For Walkin',Jessica Simpson,spotify:track:073XJnVOC3V2S8WPe3m0hn,0.779,0.818,11,-7.7,1,0.143,0.0101,0.000381,0.0993,0.75,91.997,238773,4,45.27831,12,1,"Are you ready boots? I'm ready
Start walkin', let's go
Yee-ha
Come on
Let's go

You keep sayin' you got somethin' for me
Well, officer I don't mind to say you do
Now you're lookin right where I thought you'd be looking
Legs come handy when law's in front of you

These boots are made for walkin'
That's just what they'll do
One of these days, these boots are gonna walk all over you

You believe you've stopped me for a reason (uh)
Now I'm pretending my bendings just for fun
You keep playin' where I got you playin' (yeah)
These double D initials work to run

These boots are made for walkin'
That's just what they'll do
One of these days, these boots are gonna walk all over you

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Writing On The Walls,Underoath,spotify:track:313yF0VXTCmFFoYEJF7nBQ,0.358,0.959,2,-3.139,0,0.0874,0.00364,0.000237,0.356,0.171,91.938,242413,4,42.90162,8,0,"Maybe we, why don't we
Sit right here for half an hour?
We'll speak of what a waste I am
And how we missed your beat again

I swear we need to find some comfort in this run down place
To bridge the gap of this conscious state that we live in
And I'm short on time

How come you try (that brings us home)
To fit the shape of (and I pray for)
What they tell you? (You to move on, move on)
But mostly what they show you
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
White & Nerdy,"""Weird Al"" Yankovic",spotify:track:60R2v9lheAu3lwZwAFxMZK,0.791,0.613,1,-11.628,0,0.0763,0.0986,0,0.0765,0.896,143.017,170640,4,73.98449,7,1,"Cut my life into pieces
This is my last resort
Suffocation, no breathing
Don't give a- if I cut my arm bleeding
This is my last resort

'Cause I'm losing my sight, losing my mind
Wish somebody would tell me I'm fine
Losing my sight, losing my mind
Wish somebody would tell me I'm fine
Nothing's all right, nothing is fine
I'm running and a-crying

Wake up (Wake up)
Grab a brush and put a little make-up
Hide the scars to fade away the shakeup
Why'd you leave the keys upon the table?
Here you go create another fable
You wanted to
Grab a brush and put a little makeup
You wanted to
Hide the scars to fade away the shakeup
You wanted to
Why'd you leave the keys upon the table?
You wanted to
I don't think you trust
In my self-righteous suicide
I cry when angels deserve to die, die, die
D-d-die die die die die

Hey
I'm gonna get free
I'm gonna get free
I'm gonna get free
Ride into the sun
She never loved me
She never loved me
She never loved me
Why should anyone?
Come here, come here, come here I'll take your photo for ya
Come here, come here, come here Drive you around the corner
Come here, come here, come here You know you really oughta
Come here, come here, come here Move out to California

Do what I want 'cause I can
If I don't because I wanna
Be ignored by the stiff and the bored
Because I'm gonna
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
If You Can Do Anything Else,George Strait,spotify:track:1PmJcgLwG1wRC5qMdjogRD,0.681,0.62,3,-7.68,1,0.0268,0.601,0.000318,0.128,0.482,116.983,246667,4,31.19332,11,1,"Would you like to live in Houston
Where the cowboys come to town
Or maybe Pensacola
Where the sun shines all year 'round
Or even New York City
Where the city never sleeps
I'm offering you the option
Before you get in too deep

If you can anything else,
Baby, be good to yourself
You can find a nice place, have a good life
Don't worry 'bout me, I'm gonna be alright
You can make a new start
You can see yourself clear
If you can do anything else, do it
But if you can't
Baby, you can you stay right here

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Gimme Gimme,Sutton Foster,spotify:track:3AQUwT6IIX9iqBStVs6lWq,0.328,0.213,11,-10.698,1,0.0469,0.886,0,0.113,0.21,176.136,214227,4,17.78937,12,0,"A simple choice, nothing more
This or that, either or
Mary well, social whirl, buisness man, clever girl
Or pin my future on a green glass love
What kind of life am I dreaming of?

I say Gimme, Gimme... Gimme, Gimme...
Gimme, Gimme That Thing Called Love
I Wannit
Gimme, Gimme That Thing Called Love
I Need It
Highs and Lows, Tears and Laughter,
Gimme Happy Ever After
Gimme, Gimme That Thing Called Love

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Death Wish (Birmingham 6 Remix),Christian Death,spotify:track:7zob3h7m2IVK0EGQmG3xrZ,0.472,0.987,9,-3.387,0,0.0695,0.0444,0.0116,0.411,0.707,136.898,280680,4,28.5509,14,0,"I see the end, I see the end
Well, it was open so I crawled inside
Someone up ahead was cryin'
Someone up ahead was dyin'
Lost in the darkness, lost in today
When you can only lose it to your mind
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Yume Yume,ONE OK ROCK,spotify:track:4liU3DFRYBLILnaubk2j7L,0.554,0.951,10,-3.853,1,0.0855,0.00307,0,0.124,0.646,125.975,195667,4,46.13951,8,0,"Your life is automatic Believe a little magic
Your future may be tragic For a toxic animatic
Don't stay in a lonely place, hey, you!
Don't you understand? 今の自分 さぁ Wonderland
My life つまらない それが表情に
Don't forget 向上心常に
意味が無いものに手を差し伸べても刺激が強すぎ悲劇なRonin
やりたいこと日々冒険 Keep it going!
ついて来い 世界に行こうぜ
夢は見るモンじゃなくsoかなえるモンでしょ?
だからかなわない夢なら夢とは言わない!!
それでも人が「夢は夢」だと言うなら
まずは俺らが先人切って 笑い飛ばしてやる! 飛ばしてやる!

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Since U Been Gone,Kelly Clarkson,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4,20.80581,10,1,"Here's the thing, we started out friends
It was cool, but it was all pretend
Yeah, yeah
Since you been gone

You're dedicated, you took the time
Wasn't long 'til I called you mine
Yeah, yeah
Since you been gone

And all you'd ever hear me say
Is how I picture me with you
That's all you'd ever hear me say

But since you been gone
I can breathe for the first time
I'm so moving on, yeah, yeah
Thanks to you
Now I get what I want
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
I Run To You,Lady Antebellum,spotify:track:2YVCkTYJpv5jelYrHYoEG8,0.656,0.786,3,-4.451,1,0.034,0.163,5.99e-05,0.124,0.378,113.963,256013,4,63.88936,9,1,"I run from hate
I run from prejudice
I run from pessimists
But I run too late

I run my life
Or is it runnin' me?
Run from my past
I run too fast
Or too slow it seems

When lies become the truth
That's when I run to you

This world keeps spinnin' faster
Into a new disaster, so I run to you
I run to you, baby
When it all starts comin' undone
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Take You Down,Chris Brown,spotify:track:1vwUsp52io0AGQ5yv470IC,0.387,0.64,11,-5.817,0,0.081,0.107,0,0.319,0.617,59.989,245933,4,43.78738,6,1,"Here we are all alone in this room (Oh)
And girl I know where to start what we gonna do (Yeah)
I'll take my time we'll be all night girl
So get ready babe
I got plans for me and you
It ain't my first time but baby girl we can pretend

Hey let's bump and grind girl tonight we'll never end
Let me take you down
I really wanna take you down
And show you what I'm all about
Can I take you now?
Your body body oh
Your body body up and down
So don't stop girl get it
Quit playin wit it
Can't wait no more
I wanna take you down
I really wanna take you down
Take you down, yeah

Pretty girl let's take it off in this room
No time to waste
Girl you know what we came to do
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
In My Mind,Heather Headley,spotify:track:6NSlNryPDSICV6ER6ZRosi,0.616,0.457,0,-6.761,1,0.034,0.148,0,0.125,0.208,119.646,245947,4,25.54056,9,1,"Imagine seeing him on the town holding another hand
She's staring me down so I figure that he told her who I am
But it don't matter either way what they do or say
'Cause ain't nothing changed
He's standing with her but his soul is calling out my name

In my mind I'll always be his lady
In my mind I'll always be his girl

Saw his mama just the other said he'd been through a spell
Had a bad break up, thinks he's on his way up, it's hard to tell
She said? I think it'd do some good if you call him every now and then
You see he's been through some things
And I'm thinking he could really use a friend?
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Decay Dance,XE-NONE,spotify:track:7JaDSIAS8yHFyrf1gOtucD,0.449,0.955,7,-0.296,1,0.0465,0.00483,0.00459,0.136,0.308,89.979,304000,4,27.37367,14,0,"[Verse 1]
Don't fuck up yourself
This world not for us
All is divided,
All is sold out.

[Bridge:]
Hide your tears
Deep in your eyes
Watch the dawn
Of world demise
Hide your fear
It's not the end
But you can't stop
This decay dance

[Repeat:]
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
4 In The Morning,Gwen Stefani,spotify:track:64fSdRkaB7ksxI9suUGYmi,0.698,0.826,10,-6.261,1,0.031,0.2,0.00013,0.114,0.502,92.409,291107,4,22.50232,13,1,"Wakin' up to find another day
The moon got lost again last night
But now the sun has finally had its say
I guess I feel alright

But it hurts when I think
When I let it sink in
It's all over me
I know you're here in the dark
I'm watching you sleep, it hurts a lot

And all I know is
You've got to give me everything
Nothing less 'cause you know I give you all of me
I give you everything that I am

I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up
Stay up 'til four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Wreath of Barbs - Album Mix,:Wumpscut:,spotify:track:6I2lZcI1Dm8VeUYsOASNxz,0.518,0.954,11,-4.531,0,0.0389,0.101,0.471,0.0919,0.689,179.918,323413,4,72.71176,15,0,"Holy burning hand of wrath
Piercing forever through the heart
And this flaming orbit of shame
Ravages and splits the path

Grinding binding taking away
Needles above the prey
Wreath of barbs
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
